"Access Denied";"Capaian ditolak"
"Are you sure you want to refund this transaction?";"Adakah anda pasti anda mahu membayar balik urus niaga ini?"
No;tidak
Yes;Ya
"Refund History Information";"Maklumat bayaran balik"
Print;Cetak
"Dispute ID:";"Pertikaian ID:"
"Buyer Name:";"Nama pembeli:"
"Buyer Email:";"Email pembeli:"
"Buyer Contact Number:";"Nombor telefon pembeli:"
"Date Request:";"Tarikh permintaan:"
"Date Processed:";"Tarikh diproses:"
"Processed By:";"Diproses oleh:"
"Click here";"Klik di sini"
"Supplier Payout";"Pembayaran pembekal"
"Date From";"Tarikh dari"
"Date To";"Tarikh untuk"
"Search for keyword: Manufacturer/Contact number";"Carian untuk kata kunci: pengeluar/Hubungi nombor"
"Payout List";"Senarai bayaran"
"Payout History";"Sejarah pembayaran"
Manufacturer;Pengeluar
"Reference Number";"Nombor rujukan"
"Support CSR";"Sokongan sosial"
"Payout Details";"Maklumat pembayaran"
"WayBill Number";"Nombor bil muatan"
Warehouse;Gudang
"Payout Order Products";"Pembayaran Tempahan produk"
"Deposit Slips";"Slip Deposit"
"Date Modified";"Tarikh diubahsuai"
Close;Tutup
"Case ID:";"Kes ID:"
"Date Request";"Tarikh permintaan"
"Date Processed";"Tarikh yang diproses"
"Processed By";"Diproses oleh"
"Select type of dispute";"Pilih jenis atau pertikaian"
"Select status";"Pilih status"
"No case found";"Tiada kes yang ditemui"
"Dispute Resolution";"Penyelesaian pertikaian"
"Voucher Name";"Baucar yang tertentu"
"Voucher Value";"Nilai baucar"
"Enter Dispute message here..";"Masukkan mesej pertikaian di sini..."
"Replace Different Item";"Menggantikan Item yang berbeza"
Done;Dilakukan
"Search for keyword: Store Name";"Carian untuk kata kunci: nama kedai"
"Supplier Name";"Nama pembekal"
"Commission Amount";"Jumlah komisen"
PHP;PHP
"Supplier Payout Amount";"Amaun pembayaran pembekal"
"Search By Invoice No. / Buyer";"Carian invois No./pembeli"
"Order Status:";"Status pesanan:"
"Payment Type:";"Jenis bayaran:"
Actions:;Tindakan:
"Cancel Request By Buyer";"Membatalkan permohonan oleh pembeli"
"Cancel Product";"Membatalkan produk"
None;Tiada seorang pun
"Collected Amount";"Yang telah dikutip"
"Transaction Price";"Harga transaksi"
"Consignee Name";"Nama perisian"
"Consignee Contact Number";"Nombor telefon perisian"
"Buyer Details";"Butir-butir pembeli"
"Shipping Address";"Alamat penghantaran"
"Freight Charge";"Caj pengangkutan"
"Additional Charge";"Caj tambahan"
"Seller Net";"Penjual bersih"
"Voucher Details";"Butir-butir baucar"
Attributes;Sifat-sifat
"Cancel Transaction";"Membatalkan transaksi"
Deny;Menafikan
"Seller Details";"Butiran Penjual"
"Store Address";"Alamat kedai"
"Remarks for Approval";"Kata-kata untuk kelulusan"
"Remarks for Deny";"Kata-kata untuk Deny"
"Registered Buyer";"Pembeli berdaftar"
"Search Buyer here";"Cari pembeli di sini"
"User Information";"Maklumat pengguna"
UPDATE;KEMAS KINI
"Address Title";"Alamat tajuk"
"Home Address";"Alamat rumah"
"Unit Number";"Jumlah unit"
"Building Name";"Nama bangunan"
"Street Number";"Nombor jalan"
"Street Name";"Nama jalan"
Subdivision;Pecah sempadan
Province;Wilayah
"Select your province";"Pilih jajahan anda"
City/Municipal;Bandaraya/Perbandaran
Barangay;Barangay
"Zip Code";"poskod"
"Registered Seller/Affiliates";"Berdaftar penjual/anggota gabungan"
"Create Voucher";"Mewujudkan baucar"
Code;Kod
Used;Digunakan
"Voucher Codes";"Kod Baucar"
"Minimum Purchase";"Pembelian minima"
"By Batch";"Oleh Kumpulan"
"Disable Countdown Timer";"Mematikan pemasa Hitung mundur"
Orientation;Orientasi
Order;Perintah
3;3
"ex. Title";"cth tajuk"
"Left to Right";"Kiri ke kanan"
"Right to Left";"Kanan ke kiri"
"Products Slug (separated by line break)";"Produk Slug (dipisahkan oleh perenggan)"
"Products List";"Senarai produk"
"Product One";"Produk satu"
"Banner Link";"Pautan banner"
"Paste your Banner Links here";"Tampal link Banner anda di sini"
"Category Name";"Nama kategori"
Show;Papar
"Category Header Link";"Kategori tajuk Link"
11/03/2015;11/03/2015
Time;Masa
"Pick a Date";"Pilih tarikh"
"Start Time";"Masa mula"
"End Time";"Masa tamat"
"Flash Sales Discount";"Diskaun jualan kilat"
"Flash Discounted Price";"Kilat harga diskaun"
"Sales Stock";"Stok jualan"
"P 1,000";"P 1.000"
"10% off";"10% off"
"P 900";"P 900"
"ex. 10%";"cth 10%"
"ex. 1000";"cth 1000"
"Mobile Webview (CMS)";"Webview mudah alih (CMS)"
"Cover Photo Link";"Link gambar penutup"
"Paste Link";"Tampal pautan"
