"Access Denied"; "Akses ditolak"
10/10/15;10/10/15
"FullName / Email"; "Lengkap / Email"
"Remarks from Dispute"; "Sambutan dari sengketa"
"Deposit Slip"; "Bukti transfer"
Remarks:;Catatan:
"Enter your remarks"; "Masukkan komentar Anda"
"Deposit Slip:"; "Slip simpanan:"
"Compatible files: JPG, JPEG, and PNG"; "Kompatibel file: JPG, JPEG dan PNG"
"Are you sure you want to refund this transaction?"; "Apakah Anda yakin ingin mengembalikan transaksi ini?"
No;Tidak
Yes;Ya
"Refund History Information"; "Mengembalikan sejarah informasi"
Print;Cetak
"Dispute ID:"; "Sengketa ID:"
"Buyer Name:"; "Nama pembeli:"
"Buyer Email:"; "Pembeli Email:"
"Buyer Contact Number:"; "Pembeli nomor kontak:"
"Date Request:"; "Tanggal permintaan:"
"Date Processed:"; "Tanggal diproses:"
"Processed By:"; "Diproses oleh:"
"Click here"; "Klik di sini"
"Supplier Payout"; "Pembayaran supplier"
"Date From"; "Tanggal dari"
"Date To"; "Ke tanggal"
"Search for keyword: Manufacturer/Contact number"; "Pencarian untuk kata kunci: produsen/kontak nomor"
"Payout List"; "Daftar pembayaran"
"Payout History"; "Sejarah pembayaran"
Manufacturer;Produsen
"Reference Number"; "Nomor referensi"
"Support CSR"; "Dukungan CSR"
"Payout Details"; "Rincian pembayaran"
"WayBill Number"; "Nomor wayBill"
Warehouse;Gudang
"Payout Order Products"; "Pembayaran pesanan produk"
"Deposit Slips"; "Slip deposit"
"Date Modified"; "Tanggal dimodifikasi"
Close;Tutup
"Case ID:"; "Kasus ID:"
"Date Request"; "Tanggal permintaan"
"Date Processed"; "Tanggal yang diproses"
"Processed By"; "Diproses oleh"
"Select type of dispute"; "Pilih jenis sengketa"
"Select status"; "Pilih status"
"No case found"; "Tidak ditemukan"
"Dispute Resolution"; "Penyelesaian sengketa"
"Voucher Name"; "Nama voucher"
"Voucher Value"; "Nilai voucher"
"Enter Dispute message here.."; "Masukkan pesan sengketa di sini..."
"Replace Different Item"; "Menggantikan Item yang berbeda"
Done;Dilakukan
"Search for keyword: Store Name"; "Pencarian untuk kata kunci: nama toko"
"Supplier Name"; "Nama pemasok"
"Commission Amount"; "Jumlah komisi"
PHP;PHP
"Supplier Payout Amount"; "Jumlah pembayaran supplier"
"Search By Invoice No. / Buyer"; "Cari berdasarkan nomor Invoice / pembeli"
"Order Status:"; "Status pesanan:"
"Payment Type:"; "Jenis pembayaran:"
Actions:;Tindakan:
"Cancel Request By Buyer"; "Membatalkan permintaan oleh pembeli"
"Cancel Product"; "Membatalkan produk"
None;Tidak ada
"Collected Amount"; "Jumlah dikumpulkan"
"Transaction Price"; "Harga transaksi"
"Consignee Name"; "Nama penerima barang"
"Consignee Contact Number"; "Consignee nomor kontak"
"Buyer Details"; "Pembeli rincian"
"Shipping Address"; "Alamat pengiriman"
"Freight Charge"; "Biaya pengiriman"
"Additional Charge"; "Biaya tambahan"
"Seller Net"; "Penjual bersih"
"Voucher Details"; "Voucher rincian"
Attributes;Atribut
"Cancel Transaction"; "Membatalkan transaksi"
Deny;Menyangkal
"Seller Details"; "Penjual rincian"
"Store Address"; "Menyimpan alamat"
"Remarks for Approval"; "Komentar untuk persetujuan"
"Remarks for Deny"; "Komentar untuk Deny"
"Registered Buyer"; "Terdaftar pembeli"
"Search Buyer here"; "Cari pembeli di sini"
"User Information"; "Informasi pengguna"
UPDATE;TERBARU
"Address Title"; "Alamat judul"
"Home Address"; "Alamat rumah"
"Unit Number"; "Jumlah unit"
"Building Name"; "Nama Gedung"
"Street Number"; "Jalan"
"Street Name"; "Nama jalan"
Subdivision;Subdivisi
Province;Provinsi
"Select your province"; "Pilih Propinsi Anda"
City/Municipal;City Municipal
Barangay;Barangay
"Zip Code"; "Kode pos"
"Registered Seller/Affiliates"; "Penjual/afiliasi terdaftar"
"Create Voucher"; "Membuat Voucher"
Code;Kode
Used;Digunakan
"Voucher Codes"; "Kode voucher"
"Minimum Purchase"; "Minimal pembelian"
"By Batch"; "Oleh Batch"
"Disable Countdown Timer"; "Menonaktifkan penghitung waktu mundur"
Orientation;Orientasi
Order;Urutan
3;3
"ex. Title"; "Keluaran judul"
"Left to Right"; "Kiri ke kanan"
"Right to Left"; "Kanan ke kiri"
"Products Slug (separated by line break)"; "Produk siput (dipisahkan oleh baris)"
"Products List"; "Daftar produk"
"Product One"; "Produk satu"
"Banner Link"; "Banner Link"
"Paste your Banner Links here"; "Sisipkan link Banner Anda di sini"
"Category Name"; "Nama kategori"
Show;Tampilkan
"Category Header Link"; "Kategori Header Link"
11/03/2015;11/03/2015
Time;Waktu
"Pick a Date"; "Pilihlah tanggal"
"Start Time"; "Waktu mulai"
"End Time"; "Akhir zaman"
"Flash Sales Discount"; "Flash diskon penjualan"
"Flash Discounted Price"; "Flash potongan harga"
"Sales Stock"; "Penjualan saham"
"P 1,000"; "P 1,000"
"10% off"; "10% off"
"P 900"; "P 900"
"ex. 10%"; "Keluaran 10%"
"ex. 1000"; "Keluaran 1000"
"Mobile Webview (CMS)"; "Mobile Webview (CMS)"
"Cover Photo Link"; "Link foto sampul"
"Paste Link"; "Menempelkan link"
